Column1;Column2;Column3;Column4
Название модели светильника;Новая цена;Старая цена;ссылка на товар
Подвесной светильник Сансет Black;4190руб.;5990руб.;https://www.divan.ru/sankt-peterburg/product/podvesnoj-svetilnik-sanset-black
Торшер Билли Black;12 990руб.;23 390руб.;https://www.divan.ru/sankt-peterburg/product/torsher-billi-black
Подвесной светильник Бабл-9;16 490руб.;25 990руб.;https://www.divan.ru/sankt-peterburg/product/podvesnoj-svetilnik-babl-9
Торшер Бабл-1;6190руб.;10 390руб.;https://www.divan.ru/sankt-peterburg/product/torsher-babl-1
Подвесной светильник Бабл-3;6190руб.;8990руб.;https://www.divan.ru/sankt-peterburg/product/podvesnoj-svetilnik-babl-3
Бра Бабл Black;1990руб.;3890руб.;https://www.divan.ru/sankt-peterburg/product/bra-babl-black
Настольная лампа Дэнди Black;3990руб.;6990руб.;https://www.divan.ru/sankt-peterburg/product/nastolnaya-lampa-dendi-black
Настольная лампа Дэнди White;3990руб.;6990руб.;https://www.divan.ru/sankt-peterburg/product/nastolnaya-lampa-dendi-white
Торшер Варио White;3999руб.;8190руб.;https://www.divan.ru/sankt-peterburg/product/torsher-vario-white
Бра Варио Black;990руб.;1690руб.;https://www.divan.ru/sankt-peterburg/product/bra-vario-black
Бра Варио White;990руб.;1890руб.;https://www.divan.ru/sankt-peterburg/product/bra-vario-white
Подвесной светильник Сансет White;4190руб.;5990руб.;https://www.divan.ru/sankt-peterburg/product/podvesnoj-svetilnik-sanset-white
Подвесной светильник Кэндел Black;2690руб.;3590руб.;https://www.divan.ru/sankt-peterburg/product/podvesnoj-svetilnik-kendel-black
Подвесной светильник Кэндел White;2690руб.;3590руб.;https://www.divan.ru/sankt-peterburg/product/podvesnoj-svetilnik-kendel-white
Торшер Вена Beige;9990руб.;11 990руб.;https://www.divan.ru/sankt-peterburg/product/torsher-vena-beige
Настольная лампа Сфера Orange;4990руб.;5990руб.;https://www.divan.ru/sankt-peterburg/product/nastolnaya-lampa-sfera-orange
Торшер Осло Black;15 990руб.;19 990руб.;https://www.divan.ru/sankt-peterburg/product/torsher-oslo-black
Подвесной светильник Кая Black;2590руб.;3590руб.;https://www.divan.ru/sankt-peterburg/product/podvesnoj-svetilnik-kaya-black
Торшер Вена Black;9990руб.;11 990руб.;https://www.divan.ru/sankt-peterburg/product/torsher-vena-black
Настольная лампа Гровер Glass;3990руб.;6990руб.;https://www.divan.ru/sankt-peterburg/product/nastolnaya-lampa-grover-glass
Настольная лампа Клауд White;11 590руб.;13 990руб.;https://www.divan.ru/sankt-peterburg/product/nastolnaya-lampa-klaud-white
Настольная лампа Рэй Black;2990руб.;3990руб.;https://www.divan.ru/sankt-peterburg/product/nastolnaya-lampa-rej-black
Торшер Рэй Black;4990руб.;5990руб.;https://www.divan.ru/sankt-peterburg/product/torsher-rej-black
Подвесной светильник Портланд Black;2590руб.;4190руб.;https://www.divan.ru/sankt-peterburg/product/podvesnoj-svetilnik-portland-black
Торшер Рэй White;3590руб.;5990руб.;https://www.divan.ru/sankt-peterburg/product/torsher-rej-white
Торшер Мун Black;5990руб.;9990руб.;https://www.divan.ru/sankt-peterburg/product/torsher-mun-black
Торшер Варио Black;4990руб.;8190руб.;https://www.divan.ru/sankt-peterburg/product/torsher-vario-black
Настольная лампа Раффи Round;5990руб.;7590руб.;https://www.divan.ru/sankt-peterburg/product/nastolnaya-lampa-raffi-round
Торшер Гросс White;5990руб.;8590руб.;https://www.divan.ru/sankt-peterburg/product/torsher-gross-white
Торшер Раффи Round;9490руб.;11 590руб.;https://www.divan.ru/sankt-peterburg/product/torsher-raffi-round
Настольная лампа Рэй White;2590руб.;3990руб.;https://www.divan.ru/sankt-peterburg/product/nastolnaya-lampa-rej-white
Настольная лампа Спайк Orange;990руб.;1290руб.;https://www.divan.ru/sankt-peterburg/product/nastolnaya-lampa-spajk-orange
Подвесной светильник Milligan;5490руб.;6590руб.;https://www.divan.ru/sankt-peterburg/product/podvesnoj-svetilnik-milligan
Настольная лампа Сфера Black;3990руб.;5990руб.;https://www.divan.ru/sankt-peterburg/product/nastolnaya-lampa-sfera-black
Подвесной светильник Townshend-4;10 990руб.;22 690руб.;https://www.divan.ru/sankt-peterburg/product/podvesnoj-svetilnik-townshend-4
